heure;habitat_collectif;restauration;commerces;bureaux
2050;0;5.52789264705882;1.07399057142857;7.30313588571428
2051;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2052;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2053;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2054;0;27.6394632352941;1.61098585714286;7.30313588571428
2055;0;5.52789264705882;1.07399057142857;5.47735191428571
2056;0;5.52789264705882;1.07399057142857;3.65156794285714
2057;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2058;467.78256;5.52789264705882;2.68497642857143;0
2059;267.30432;16.5836779411765;2.14798114285714;0
2060;133.65216;16.5836779411765;1.07399057142857;0
2061;0;44.2231411764706;0;0
2062;0;38.6952485294118;0;0
2063;0;22.1115705882353;0;0
2064;0;0;0;0
2065;0;0;0;0
2066;0;0;0;0
2067;0;0;0;0
2068;0;0;0;0
2069;0;0;0;0
2070;133.65216;0;0;1.82578397142857
2071;467.78256;0;0;1.82578397142857
2072;133.65216;0;0.536995285714286;5.47735191428571
2073;0;5.52789264705882;1.07399057142857;9.12891985714286
2074;0;5.52789264705882;1.07399057142857;7.30313588571428
2075;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2076;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2077;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2078;0;27.6394632352941;1.61098585714286;7.30313588571428
2079;0;5.52789264705882;1.07399057142857;5.47735191428571
2080;0;5.52789264705882;1.07399057142857;3.65156794285714
2081;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2082;467.78256;5.52789264705882;2.68497642857143;0
2083;267.30432;16.5836779411765;2.14798114285714;0
2084;133.65216;16.5836779411765;1.07399057142857;0
2085;0;44.2231411764706;0;0
2086;0;38.6952485294118;0;0
2087;0;22.1115705882353;0;0
2088;0;0;0;0
2089;0;0;0;0
2090;0;0;0;0
2091;0;0;0;0
2092;0;0;0;0
2093;0;0;0;0
2094;133.65216;0;0;1.82578397142857
2095;467.78256;0;0;1.82578397142857
2096;133.65216;0;0.536995285714286;5.47735191428571
2097;0;5.52789264705882;1.07399057142857;9.12891985714286
2098;0;5.52789264705882;1.07399057142857;7.30313588571428
2099;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2100;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2101;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2102;0;27.6394632352941;1.61098585714286;7.30313588571428
2103;0;5.52789264705882;1.07399057142857;5.47735191428571
2104;0;5.52789264705882;1.07399057142857;3.65156794285714
2105;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2106;467.78256;5.52789264705882;2.68497642857143;0
2107;267.30432;16.5836779411765;2.14798114285714;0
2108;133.65216;16.5836779411765;1.07399057142857;0
2109;0;44.2231411764706;0;0
2110;0;38.6952485294118;0;0
2111;0;22.1115705882353;0;0
2112;0;0;0;0
2113;0;0;0;0
2114;0;0;0;0
2115;0;0;0;0
2116;0;0;0;0
2117;0;0;0;0
2118;133.65216;0;0;1.82578397142857
2119;467.78256;0;0;1.82578397142857
