,A3,,A1 habitations,,A1 bureau,,B2 habitations,,B2 bureau,,C1 habitations,,C1 restauration,,C1 dépôt,,C2 habitations,,C2 bureau,,D1 ferme,,D2 dépôt
A3,A3,A1 habitations,,A1 bureau,,B2 habitations,,B2 bureau,,C1 habitations,,C1 restauration,,C1 dépôt,,C2 habitations,,C2 bureau,,D1 ferme,,D2 dépôt,
#Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2]
Dimanche 2 Janv. à 19h00,0,Dimanche 2 Janv. à 19h00,0,Dimanche 2 Janv. à 19h00,3.4,Dimanche 2 Janv. à 19h00,0,Dimanche 2 Janv. à 19h00,0,Dimanche 2 Janv. à 19h00,0,Dimanche 2 Janv. à 19h00,0,Dimanche 2 Janv. à 19h00,0,Dimanche 2 Janv. à 19h00,0,Dimanche 2 Janv. à 19h00,0,Dimanche 2 Janv. à 19h00,4.8,Dimanche 2 Janv. à 19h00,0
Dimanche 2 Janv. à 20h00,0,Dimanche 2 Janv. à 20h00,0,Dimanche 2 Janv. à 20h00,3.5,Dimanche 2 Janv. à 20h00,0,Dimanche 2 Janv. à 20h00,0,Dimanche 2 Janv. à 20h00,2.2,Dimanche 2 Janv. à 20h00,0,Dimanche 2 Janv. à 20h00,0,Dimanche 2 Janv. à 20h00,2.1,Dimanche 2 Janv. à 20h00,1.4,Dimanche 2 Janv. à 20h00,5,Dimanche 2 Janv. à 20h00,0
Dimanche 2 Janv. à 21h00,0,Dimanche 2 Janv. à 21h00,0,Dimanche 2 Janv. à 21h00,3.6,Dimanche 2 Janv. à 21h00,2.5,Dimanche 2 Janv. à 21h00,0,Dimanche 2 Janv. à 21h00,3.9,Dimanche 2 Janv. à 21h00,0,Dimanche 2 Janv. à 21h00,0,Dimanche 2 Janv. à 21h00,3.8,Dimanche 2 Janv. à 21h00,2.5,Dimanche 2 Janv. à 21h00,5.1,Dimanche 2 Janv. à 21h00,0
Dimanche 2 Janv. à 22h00,0,Dimanche 2 Janv. à 22h00,2.2,Dimanche 2 Janv. à 22h00,3.8,Dimanche 2 Janv. à 22h00,2.8,Dimanche 2 Janv. à 22h00,0,Dimanche 2 Janv. à 22h00,4,Dimanche 2 Janv. à 22h00,0,Dimanche 2 Janv. à 22h00,0,Dimanche 2 Janv. à 22h00,4,Dimanche 2 Janv. à 22h00,2.6,Dimanche 2 Janv. à 22h00,5.3,Dimanche 2 Janv. à 22h00,0
Dimanche 2 Janv. à 23h00,0,Dimanche 2 Janv. à 23h00,2.7,Dimanche 2 Janv. à 23h00,3.9,Dimanche 2 Janv. à 23h00,2.9,Dimanche 2 Janv. à 23h00,0,Dimanche 2 Janv. à 23h00,4.2,Dimanche 2 Janv. à 23h00,0,Dimanche 2 Janv. à 23h00,0,Dimanche 2 Janv. à 23h00,4.1,Dimanche 2 Janv. à 23h00,2.7,Dimanche 2 Janv. à 23h00,5.4,Dimanche 2 Janv. à 23h00,0
Lundi 3 Janv. à 00h00,0,Lundi 3 Janv. à 00h00,2.8,Lundi 3 Janv. à 00h00,4,Lundi 3 Janv. à 00h00,3,Lundi 3 Janv. à 00h00,0,Lundi 3 Janv. à 00h00,4.2,Lundi 3 Janv. à 00h00,0,Lundi 3 Janv. à 00h00,0,Lundi 3 Janv. à 00h00,4.2,Lundi 3 Janv. à 00h00,2.7,Lundi 3 Janv. à 00h00,5.5,Lundi 3 Janv. à 00h00,0
Lundi 3 Janv. à 01h00,0,Lundi 3 Janv. à 01h00,2.9,Lundi 3 Janv. à 01h00,4,Lundi 3 Janv. à 01h00,3,Lundi 3 Janv. à 01h00,0,Lundi 3 Janv. à 01h00,4.3,Lundi 3 Janv. à 01h00,0,Lundi 3 Janv. à 01h00,0,Lundi 3 Janv. à 01h00,4.3,Lundi 3 Janv. à 01h00,2.8,Lundi 3 Janv. à 01h00,5.7,Lundi 3 Janv. à 01h00,0
Lundi 3 Janv. à 02h00,0,Lundi 3 Janv. à 02h00,3,Lundi 3 Janv. à 02h00,4.1,Lundi 3 Janv. à 02h00,3.1,Lundi 3 Janv. à 02h00,0,Lundi 3 Janv. à 02h00,4.4,Lundi 3 Janv. à 02h00,0,Lundi 3 Janv. à 02h00,0,Lundi 3 Janv. à 02h00,4.3,Lundi 3 Janv. à 02h00,2.9,Lundi 3 Janv. à 02h00,5.7,Lundi 3 Janv. à 02h00,0
Lundi 3 Janv. à 03h00,0,Lundi 3 Janv. à 03h00,3,Lundi 3 Janv. à 03h00,4.2,Lundi 3 Janv. à 03h00,3.2,Lundi 3 Janv. à 03h00,0,Lundi 3 Janv. à 03h00,4.5,Lundi 3 Janv. à 03h00,0,Lundi 3 Janv. à 03h00,0,Lundi 3 Janv. à 03h00,4.4,Lundi 3 Janv. à 03h00,2.9,Lundi 3 Janv. à 03h00,5.9,Lundi 3 Janv. à 03h00,0
Lundi 3 Janv. à 04h00,0,Lundi 3 Janv. à 04h00,3.1,Lundi 3 Janv. à 04h00,4.3,Lundi 3 Janv. à 04h00,3.3,Lundi 3 Janv. à 04h00,0,Lundi 3 Janv. à 04h00,4.6,Lundi 3 Janv. à 04h00,1.5,Lundi 3 Janv. à 04h00,0,Lundi 3 Janv. à 04h00,4.5,Lundi 3 Janv. à 04h00,3,Lundi 3 Janv. à 04h00,6,Lundi 3 Janv. à 04h00,0
Lundi 3 Janv. à 05h00,0,Lundi 3 Janv. à 05h00,3.2,Lundi 3 Janv. à 05h00,4.3,Lundi 3 Janv. à 05h00,3.3,Lundi 3 Janv. à 05h00,0,Lundi 3 Janv. à 05h00,4.6,Lundi 3 Janv. à 05h00,2.5,Lundi 3 Janv. à 05h00,0,Lundi 3 Janv. à 05h00,4.6,Lundi 3 Janv. à 05h00,3.1,Lundi 3 Janv. à 05h00,6.1,Lundi 3 Janv. à 05h00,0
Lundi 3 Janv. à 06h00,0,Lundi 3 Janv. à 06h00,3.3,Lundi 3 Janv. à 06h00,4.4,Lundi 3 Janv. à 06h00,3.4,Lundi 3 Janv. à 06h00,0,Lundi 3 Janv. à 06h00,4.7,Lundi 3 Janv. à 06h00,2.6,Lundi 3 Janv. à 06h00,0,Lundi 3 Janv. à 06h00,4.7,Lundi 3 Janv. à 06h00,3.1,Lundi 3 Janv. à 06h00,6.2,Lundi 3 Janv. à 06h00,0
Lundi 3 Janv. à 07h00,0.5,Lundi 3 Janv. à 07h00,3.4,Lundi 3 Janv. à 07h00,4.5,Lundi 3 Janv. à 07h00,3.5,Lundi 3 Janv. à 07h00,0,Lundi 3 Janv. à 07h00,4.8,Lundi 3 Janv. à 07h00,2.7,Lundi 3 Janv. à 07h00,0,Lundi 3 Janv. à 07h00,4.8,Lundi 3 Janv. à 07h00,3.2,Lundi 3 Janv. à 07h00,6.3,Lundi 3 Janv. à 07h00,0
Lundi 3 Janv. à 08h00,0.8,Lundi 3 Janv. à 08h00,2.8,Lundi 3 Janv. à 08h00,4.2,Lundi 3 Janv. à 08h00,3,Lundi 3 Janv. à 08h00,0,Lundi 3 Janv. à 08h00,4.3,Lundi 3 Janv. à 08h00,2.4,Lundi 3 Janv. à 08h00,0,Lundi 3 Janv. à 08h00,4.2,Lundi 3 Janv. à 08h00,2.9,Lundi 3 Janv. à 08h00,5.9,Lundi 3 Janv. à 08h00,0
Lundi 3 Janv. à 09h00,0.5,Lundi 3 Janv. à 09h00,1.3,Lundi 3 Janv. à 09h00,3.1,Lundi 3 Janv. à 09h00,1.5,Lundi 3 Janv. à 09h00,0,Lundi 3 Janv. à 09h00,2.7,Lundi 3 Janv. à 09h00,1.2,Lundi 3 Janv. à 09h00,0,Lundi 3 Janv. à 09h00,2.6,Lundi 3 Janv. à 09h00,1.9,Lundi 3 Janv. à 09h00,4.9,Lundi 3 Janv. à 09h00,0
Lundi 3 Janv. à 10h00,0,Lundi 3 Janv. à 10h00,0,Lundi 3 Janv. à 10h00,2.1,Lundi 3 Janv. à 10h00,0,Lundi 3 Janv. à 10h00,0,Lundi 3 Janv. à 10h00,1.2,Lundi 3 Janv. à 10h00,0,Lundi 3 Janv. à 10h00,0,Lundi 3 Janv. à 10h00,0,Lundi 3 Janv. à 10h00,1,Lundi 3 Janv. à 10h00,3.9,Lundi 3 Janv. à 10h00,0
Lundi 3 Janv. à 11h00,0,Lundi 3 Janv. à 11h00,0,Lundi 3 Janv. à 11h00,1.6,Lundi 3 Janv. à 11h00,0,Lundi 3 Janv. à 11h00,0,Lundi 3 Janv. à 11h00,0,Lundi 3 Janv. à 11h00,0,Lundi 3 Janv. à 11h00,0,Lundi 3 Janv. à 11h00,0,Lundi 3 Janv. à 11h00,0,Lundi 3 Janv. à 11h00,3.2,Lundi 3 Janv. à 11h00,0
Lundi 3 Janv. à 12h00,0,Lundi 3 Janv. à 12h00,0,Lundi 3 Janv. à 12h00,0.9,Lundi 3 Janv. à 12h00,0,Lundi 3 Janv. à 12h00,0,Lundi 3 Janv. à 12h00,0,Lundi 3 Janv. à 12h00,0,Lundi 3 Janv. à 12h00,0,Lundi 3 Janv. à 12h00,0,Lundi 3 Janv. à 12h00,0,Lundi 3 Janv. à 12h00,2.2,Lundi 3 Janv. à 12h00,0
Lundi 3 Janv. à 13h00,0,Lundi 3 Janv. à 13h00,0,Lundi 3 Janv. à 13h00,0,Lundi 3 Janv. à 13h00,0,Lundi 3 Janv. à 13h00,0,Lundi 3 Janv. à 13h00,0,Lundi 3 Janv. à 13h00,0,Lundi 3 Janv. à 13h00,0,Lundi 3 Janv. à 13h00,0,Lundi 3 Janv. à 13h00,0,Lundi 3 Janv. à 13h00,2.3,Lundi 3 Janv. à 13h00,0
Lundi 3 Janv. à 14h00,0,Lundi 3 Janv. à 14h00,0,Lundi 3 Janv. à 14h00,0,Lundi 3 Janv. à 14h00,0,Lundi 3 Janv. à 14h00,0,Lundi 3 Janv. à 14h00,0,Lundi 3 Janv. à 14h00,0,Lundi 3 Janv. à 14h00,0,Lundi 3 Janv. à 14h00,0,Lundi 3 Janv. à 14h00,0,Lundi 3 Janv. à 14h00,2.3,Lundi 3 Janv. à 14h00,0
Lundi 3 Janv. à 15h00,0,Lundi 3 Janv. à 15h00,0,Lundi 3 Janv. à 15h00,1.4,Lundi 3 Janv. à 15h00,0,Lundi 3 Janv. à 15h00,0,Lundi 3 Janv. à 15h00,0,Lundi 3 Janv. à 15h00,0,Lundi 3 Janv. à 15h00,0,Lundi 3 Janv. à 15h00,0,Lundi 3 Janv. à 15h00,0,Lundi 3 Janv. à 15h00,2.9,Lundi 3 Janv. à 15h00,0
Lundi 3 Janv. à 16h00,0,Lundi 3 Janv. à 16h00,0,Lundi 3 Janv. à 16h00,2.7,Lundi 3 Janv. à 16h00,0,Lundi 3 Janv. à 16h00,0,Lundi 3 Janv. à 16h00,0,Lundi 3 Janv. à 16h00,0,Lundi 3 Janv. à 16h00,0,Lundi 3 Janv. à 16h00,0,Lundi 3 Janv. à 16h00,0,Lundi 3 Janv. à 16h00,4,Lundi 3 Janv. à 16h00,0
Lundi 3 Janv. à 17h00,0,Lundi 3 Janv. à 17h00,0,Lundi 3 Janv. à 17h00,3,Lundi 3 Janv. à 17h00,0,Lundi 3 Janv. à 17h00,0,Lundi 3 Janv. à 17h00,0,Lundi 3 Janv. à 17h00,0,Lundi 3 Janv. à 17h00,0,Lundi 3 Janv. à 17h00,0,Lundi 3 Janv. à 17h00,0,Lundi 3 Janv. à 17h00,4.2,Lundi 3 Janv. à 17h00,0
Lundi 3 Janv. à 18h00,0,Lundi 3 Janv. à 18h00,0,Lundi 3 Janv. à 18h00,3.1,Lundi 3 Janv. à 18h00,0,Lundi 3 Janv. à 18h00,0,Lundi 3 Janv. à 18h00,0,Lundi 3 Janv. à 18h00,0,Lundi 3 Janv. à 18h00,0,Lundi 3 Janv. à 18h00,0,Lundi 3 Janv. à 18h00,0,Lundi 3 Janv. à 18h00,4.4,Lundi 3 Janv. à 18h00,0
Lundi 3 Janv. à 19h00,0,Lundi 3 Janv. à 19h00,0,Lundi 3 Janv. à 19h00,3.2,Lundi 3 Janv. à 19h00,0.9,Lundi 3 Janv. à 19h00,0,Lundi 3 Janv. à 19h00,3,Lundi 3 Janv. à 19h00,0,Lundi 3 Janv. à 19h00,0,Lundi 3 Janv. à 19h00,2.7,Lundi 3 Janv. à 19h00,0,Lundi 3 Janv. à 19h00,4.5,Lundi 3 Janv. à 19h00,0
Lundi 3 Janv. à 20h00,0,Lundi 3 Janv. à 20h00,0.8,Lundi 3 Janv. à 20h00,3.4,Lundi 3 Janv. à 20h00,2.4,Lundi 3 Janv. à 20h00,0,Lundi 3 Janv. à 20h00,3.6,Lundi 3 Janv. à 20h00,0,Lundi 3 Janv. à 20h00,0,Lundi 3 Janv. à 20h00,3.5,Lundi 3 Janv. à 20h00,1.9,Lundi 3 Janv. à 20h00,4.7,Lundi 3 Janv. à 20h00,0
Lundi 3 Janv. à 21h00,0,Lundi 3 Janv. à 21h00,2.3,Lundi 3 Janv. à 21h00,3.5,Lundi 3 Janv. à 21h00,2.5,Lundi 3 Janv. à 21h00,0,Lundi 3 Janv. à 21h00,3.7,Lundi 3 Janv. à 21h00,0,Lundi 3 Janv. à 21h00,0,Lundi 3 Janv. à 21h00,3.6,Lundi 3 Janv. à 21h00,2.3,Lundi 3 Janv. à 21h00,4.9,Lundi 3 Janv. à 21h00,0
Lundi 3 Janv. à 22h00,0,Lundi 3 Janv. à 22h00,2.5,Lundi 3 Janv. à 22h00,3.6,Lundi 3 Janv. à 22h00,2.6,Lundi 3 Janv. à 22h00,0,Lundi 3 Janv. à 22h00,3.9,Lundi 3 Janv. à 22h00,0,Lundi 3 Janv. à 22h00,0,Lundi 3 Janv. à 22h00,3.8,Lundi 3 Janv. à 22h00,2.4,Lundi 3 Janv. à 22h00,5.1,Lundi 3 Janv. à 22h00,0
Lundi 3 Janv. à 23h00,0,Lundi 3 Janv. à 23h00,2.6,Lundi 3 Janv. à 23h00,3.8,Lundi 3 Janv. à 23h00,2.8,Lundi 3 Janv. à 23h00,0,Lundi 3 Janv. à 23h00,4,Lundi 3 Janv. à 23h00,0,Lundi 3 Janv. à 23h00,0,Lundi 3 Janv. à 23h00,4,Lundi 3 Janv. à 23h00,2.6,Lundi 3 Janv. à 23h00,5.3,Lundi 3 Janv. à 23h00,0
Mardi 4 Janv. à 00h00,0,Mardi 4 Janv. à 00h00,2.8,Mardi 4 Janv. à 00h00,3.9,Mardi 4 Janv. à 00h00,2.9,Mardi 4 Janv. à 00h00,0,Mardi 4 Janv. à 00h00,4.2,Mardi 4 Janv. à 00h00,0,Mardi 4 Janv. à 00h00,0,Mardi 4 Janv. à 00h00,4.1,Mardi 4 Janv. à 00h00,2.7,Mardi 4 Janv. à 00h00,5.5,Mardi 4 Janv. à 00h00,0
Mardi 4 Janv. à 01h00,0,Mardi 4 Janv. à 01h00,3,Mardi 4 Janv. à 01h00,4.1,Mardi 4 Janv. à 01h00,3.1,Mardi 4 Janv. à 01h00,0,Mardi 4 Janv. à 01h00,4.4,Mardi 4 Janv. à 01h00,0,Mardi 4 Janv. à 01h00,0,Mardi 4 Janv. à 01h00,4.3,Mardi 4 Janv. à 01h00,2.9,Mardi 4 Janv. à 01h00,5.7,Mardi 4 Janv. à 01h00,0
Mardi 4 Janv. à 02h00,0,Mardi 4 Janv. à 02h00,3.2,Mardi 4 Janv. à 02h00,4.3,Mardi 4 Janv. à 02h00,3.3,Mardi 4 Janv. à 02h00,0,Mardi 4 Janv. à 02h00,4.6,Mardi 4 Janv. à 02h00,0,Mardi 4 Janv. à 02h00,0,Mardi 4 Janv. à 02h00,4.5,Mardi 4 Janv. à 02h00,3,Mardi 4 Janv. à 02h00,6,Mardi 4 Janv. à 02h00,0
Mardi 4 Janv. à 03h00,0,Mardi 4 Janv. à 03h00,3.3,Mardi 4 Janv. à 03h00,4.5,Mardi 4 Janv. à 03h00,3.5,Mardi 4 Janv. à 03h00,0,Mardi 4 Janv. à 03h00,4.8,Mardi 4 Janv. à 03h00,0,Mardi 4 Janv. à 03h00,0,Mardi 4 Janv. à 03h00,4.7,Mardi 4 Janv. à 03h00,3.2,Mardi 4 Janv. à 03h00,6.2,Mardi 4 Janv. à 03h00,0
Mardi 4 Janv. à 04h00,0.7,Mardi 4 Janv. à 04h00,3.5,Mardi 4 Janv. à 04h00,4.7,Mardi 4 Janv. à 04h00,3.7,Mardi 4 Janv. à 04h00,0,Mardi 4 Janv. à 04h00,5,Mardi 4 Janv. à 04h00,0,Mardi 4 Janv. à 04h00,0,Mardi 4 Janv. à 04h00,4.9,Mardi 4 Janv. à 04h00,3.4,Mardi 4 Janv. à 04h00,6.5,Mardi 4 Janv. à 04h00,0
Mardi 4 Janv. à 05h00,1.1,Mardi 4 Janv. à 05h00,3.7,Mardi 4 Janv. à 05h00,4.8,Mardi 4 Janv. à 05h00,3.9,Mardi 4 Janv. à 05h00,0,Mardi 4 Janv. à 05h00,5.2,Mardi 4 Janv. à 05h00,0,Mardi 4 Janv. à 05h00,0,Mardi 4 Janv. à 05h00,5.1,Mardi 4 Janv. à 05h00,3.5,Mardi 4 Janv. à 05h00,6.7,Mardi 4 Janv. à 05h00,0
Mardi 4 Janv. à 06h00,1.3,Mardi 4 Janv. à 06h00,3.9,Mardi 4 Janv. à 06h00,5,Mardi 4 Janv. à 06h00,4.1,Mardi 4 Janv. à 06h00,0,Mardi 4 Janv. à 06h00,5.4,Mardi 4 Janv. à 06h00,1.8,Mardi 4 Janv. à 06h00,0,Mardi 4 Janv. à 06h00,5.3,Mardi 4 Janv. à 06h00,3.7,Mardi 4 Janv. à 06h00,7,Mardi 4 Janv. à 06h00,0
Mardi 4 Janv. à 07h00,1.4,Mardi 4 Janv. à 07h00,4.1,Mardi 4 Janv. à 07h00,5.2,Mardi 4 Janv. à 07h00,4.2,Mardi 4 Janv. à 07h00,0,Mardi 4 Janv. à 07h00,5.6,Mardi 4 Janv. à 07h00,3.6,Mardi 4 Janv. à 07h00,0,Mardi 4 Janv. à 07h00,5.5,Mardi 4 Janv. à 07h00,3.9,Mardi 4 Janv. à 07h00,7.2,Mardi 4 Janv. à 07h00,0
Mardi 4 Janv. à 08h00,1.2,Mardi 4 Janv. à 08h00,3.4,Mardi 4 Janv. à 08h00,4.8,Mardi 4 Janv. à 08h00,3.6,Mardi 4 Janv. à 08h00,0,Mardi 4 Janv. à 08h00,4.9,Mardi 4 Janv. à 08h00,3.1,Mardi 4 Janv. à 08h00,0,Mardi 4 Janv. à 08h00,4.8,Mardi 4 Janv. à 08h00,3.4,Mardi 4 Janv. à 08h00,6.8,Mardi 4 Janv. à 08h00,0
Mardi 4 Janv. à 09h00,0.9,Mardi 4 Janv. à 09h00,2,Mardi 4 Janv. à 09h00,3.8,Mardi 4 Janv. à 09h00,2.2,Mardi 4 Janv. à 09h00,0,Mardi 4 Janv. à 09h00,3.4,Mardi 4 Janv. à 09h00,2,Mardi 4 Janv. à 09h00,0,Mardi 4 Janv. à 09h00,3.3,Mardi 4 Janv. à 09h00,2.5,Mardi 4 Janv. à 09h00,5.8,Mardi 4 Janv. à 09h00,0
Mardi 4 Janv. à 10h00,0.5,Mardi 4 Janv. à 10h00,1.1,Mardi 4 Janv. à 10h00,3.1,Mardi 4 Janv. à 10h00,1.4,Mardi 4 Janv. à 10h00,0,Mardi 4 Janv. à 10h00,2.5,Mardi 4 Janv. à 10h00,1.1,Mardi 4 Janv. à 10h00,0,Mardi 4 Janv. à 10h00,2.5,Mardi 4 Janv. à 10h00,1.9,Mardi 4 Janv. à 10h00,4.8,Mardi 4 Janv. à 10h00,0
Mardi 4 Janv. à 11h00,0,Mardi 4 Janv. à 11h00,0,Mardi 4 Janv. à 11h00,2,Mardi 4 Janv. à 11h00,0,Mardi 4 Janv. à 11h00,0,Mardi 4 Janv. à 11h00,0,Mardi 4 Janv. à 11h00,0,Mardi 4 Janv. à 11h00,0,Mardi 4 Janv. à 11h00,0,Mardi 4 Janv. à 11h00,0,Mardi 4 Janv. à 11h00,3.7,Mardi 4 Janv. à 11h00,0
Mardi 4 Janv. à 12h00,0,Mardi 4 Janv. à 12h00,0,Mardi 4 Janv. à 12h00,1.3,Mardi 4 Janv. à 12h00,0,Mardi 4 Janv. à 12h00,0,Mardi 4 Janv. à 12h00,0,Mardi 4 Janv. à 12h00,0,Mardi 4 Janv. à 12h00,0,Mardi 4 Janv. à 12h00,0,Mardi 4 Janv. à 12h00,0,Mardi 4 Janv. à 12h00,2.8,Mardi 4 Janv. à 12h00,0
Mardi 4 Janv. à 13h00,0,Mardi 4 Janv. à 13h00,0,Mardi 4 Janv. à 13h00,0,Mardi 4 Janv. à 13h00,0,Mardi 4 Janv. à 13h00,0,Mardi 4 Janv. à 13h00,0,Mardi 4 Janv. à 13h00,0,Mardi 4 Janv. à 13h00,0,Mardi 4 Janv. à 13h00,0,Mardi 4 Janv. à 13h00,0,Mardi 4 Janv. à 13h00,2.8,Mardi 4 Janv. à 13h00,0
Mardi 4 Janv. à 14h00,0,Mardi 4 Janv. à 14h00,0,Mardi 4 Janv. à 14h00,1.9,Mardi 4 Janv. à 14h00,0,Mardi 4 Janv. à 14h00,0,Mardi 4 Janv. à 14h00,0,Mardi 4 Janv. à 14h00,0,Mardi 4 Janv. à 14h00,0,Mardi 4 Janv. à 14h00,0,Mardi 4 Janv. à 14h00,0,Mardi 4 Janv. à 14h00,3.2,Mardi 4 Janv. à 14h00,0
Mardi 4 Janv. à 15h00,0,Mardi 4 Janv. à 15h00,0,Mardi 4 Janv. à 15h00,2.1,Mardi 4 Janv. à 15h00,0,Mardi 4 Janv. à 15h00,0,Mardi 4 Janv. à 15h00,0,Mardi 4 Janv. à 15h00,0,Mardi 4 Janv. à 15h00,0,Mardi 4 Janv. à 15h00,0,Mardi 4 Janv. à 15h00,0,Mardi 4 Janv. à 15h00,3.5,Mardi 4 Janv. à 15h00,0
Mardi 4 Janv. à 16h00,0,Mardi 4 Janv. à 16h00,0,Mardi 4 Janv. à 16h00,2.8,Mardi 4 Janv. à 16h00,0,Mardi 4 Janv. à 16h00,0,Mardi 4 Janv. à 16h00,0,Mardi 4 Janv. à 16h00,0,Mardi 4 Janv. à 16h00,0,Mardi 4 Janv. à 16h00,0,Mardi 4 Janv. à 16h00,0,Mardi 4 Janv. à 16h00,4.2,Mardi 4 Janv. à 16h00,0
Mardi 4 Janv. à 17h00,0,Mardi 4 Janv. à 17h00,0,Mardi 4 Janv. à 17h00,3.3,Mardi 4 Janv. à 17h00,0.7,Mardi 4 Janv. à 17h00,0,Mardi 4 Janv. à 17h00,1.7,Mardi 4 Janv. à 17h00,0,Mardi 4 Janv. à 17h00,0,Mardi 4 Janv. à 17h00,1.5,Mardi 4 Janv. à 17h00,0.9,Mardi 4 Janv. à 17h00,4.7,Mardi 4 Janv. à 17h00,0
Mardi 4 Janv. à 18h00,0,Mardi 4 Janv. à 18h00,0.6,Mardi 4 Janv. à 18h00,3.4,Mardi 4 Janv. à 18h00,2.4,Mardi 4 Janv. à 18h00,0,Mardi 4 Janv. à 18h00,3.7,Mardi 4 Janv. à 18h00,0,Mardi 4 Janv. à 18h00,0,Mardi 4 Janv. à 18h00,3.6,Mardi 4 Janv. à 18h00,2.3,Mardi 4 Janv. à 18h00,4.9,Mardi 4 Janv. à 18h00,0
Mardi 4 Janv. à 19h00,0,Mardi 4 Janv. à 19h00,2.4,Mardi 4 Janv. à 19h00,3.6,Mardi 4 Janv. à 19h00,2.6,Mardi 4 Janv. à 19h00,0,Mardi 4 Janv. à 19h00,3.8,Mardi 4 Janv. à 19h00,0,Mardi 4 Janv. à 19h00,0,Mardi 4 Janv. à 19h00,3.7,Mardi 4 Janv. à 19h00,2.4,Mardi 4 Janv. à 19h00,5,Mardi 4 Janv. à 19h00,0
Mardi 4 Janv. à 20h00,0,Mardi 4 Janv. à 20h00,2.6,Mardi 4 Janv. à 20h00,3.7,Mardi 4 Janv. à 20h00,2.7,Mardi 4 Janv. à 20h00,0,Mardi 4 Janv. à 20h00,4,Mardi 4 Janv. à 20h00,0,Mardi 4 Janv. à 20h00,0,Mardi 4 Janv. à 20h00,3.9,Mardi 4 Janv. à 20h00,2.5,Mardi 4 Janv. à 20h00,5.2,Mardi 4 Janv. à 20h00,0
Mardi 4 Janv. à 21h00,0,Mardi 4 Janv. à 21h00,2.7,Mardi 4 Janv. à 21h00,3.8,Mardi 4 Janv. à 21h00,2.8,Mardi 4 Janv. à 21h00,0,Mardi 4 Janv. à 21h00,4.1,Mardi 4 Janv. à 21h00,0,Mardi 4 Janv. à 21h00,0,Mardi 4 Janv. à 21h00,4,Mardi 4 Janv. à 21h00,2.6,Mardi 4 Janv. à 21h00,5.4,Mardi 4 Janv. à 21h00,0
Mardi 4 Janv. à 22h00,0,Mardi 4 Janv. à 22h00,2.8,Mardi 4 Janv. à 22h00,4,Mardi 4 Janv. à 22h00,3,Mardi 4 Janv. à 22h00,0,Mardi 4 Janv. à 22h00,4.3,Mardi 4 Janv. à 22h00,0,Mardi 4 Janv. à 22h00,0,Mardi 4 Janv. à 22h00,4.2,Mardi 4 Janv. à 22h00,2.8,Mardi 4 Janv. à 22h00,5.6,Mardi 4 Janv. à 22h00,0
Mardi 4 Janv. à 23h00,0.3,Mardi 4 Janv. à 23h00,3,Mardi 4 Janv. à 23h00,4.1,Mardi 4 Janv. à 23h00,3.1,Mardi 4 Janv. à 23h00,0,Mardi 4 Janv. à 23h00,4.4,Mardi 4 Janv. à 23h00,0,Mardi 4 Janv. à 23h00,0,Mardi 4 Janv. à 23h00,4.4,Mardi 4 Janv. à 23h00,2.9,Mardi 4 Janv. à 23h00,5.8,Mardi 4 Janv. à 23h00,0
Mercredi 5 Janv. à 00h00,0.8,Mercredi 5 Janv. à 00h00,3.1,Mercredi 5 Janv. à 00h00,4.3,Mercredi 5 Janv. à 00h00,3.3,Mercredi 5 Janv. à 00h00,0,Mercredi 5 Janv. à 00h00,4.6,Mercredi 5 Janv. à 00h00,0,Mercredi 5 Janv. à 00h00,0,Mercredi 5 Janv. à 00h00,4.5,Mercredi 5 Janv. à 00h00,3,Mercredi 5 Janv. à 00h00,6,Mercredi 5 Janv. à 00h00,0
Mercredi 5 Janv. à 01h00,0.9,Mercredi 5 Janv. à 01h00,3.2,Mercredi 5 Janv. à 01h00,4.4,Mercredi 5 Janv. à 01h00,3.4,Mercredi 5 Janv. à 01h00,0,Mercredi 5 Janv. à 01h00,4.7,Mercredi 5 Janv. à 01h00,0,Mercredi 5 Janv. à 01h00,0,Mercredi 5 Janv. à 01h00,4.6,Mercredi 5 Janv. à 01h00,3.1,Mercredi 5 Janv. à 01h00,6.1,Mercredi 5 Janv. à 01h00,0
Mercredi 5 Janv. à 02h00,1,Mercredi 5 Janv. à 02h00,3.4,Mercredi 5 Janv. à 02h00,4.5,Mercredi 5 Janv. à 02h00,3.5,Mercredi 5 Janv. à 02h00,0,Mercredi 5 Janv. à 02h00,4.9,Mercredi 5 Janv. à 02h00,0,Mercredi 5 Janv. à 02h00,0,Mercredi 5 Janv. à 02h00,4.8,Mercredi 5 Janv. à 02h00,3.3,Mercredi 5 Janv. à 02h00,6.3,Mercredi 5 Janv. à 02h00,0
