Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS; ECS Gachée
172.000000;0.000000;378214.858562;76.169154;5.000000;5.000000;0.000000;600.000000
173.000000;0.000000;378222.477462;76.170407;5.000000;5.000000;0.000000;600.000000
174.000000;0.000000;378043.881217;76.141050;5.000000;5.000000;0.000000;600.000000
175.000000;0.000000;377369.277264;76.030162;5.000000;5.000000;0.000000;551.307488
176.000000;0.000000;377048.083859;75.977366;5.000000;5.000000;0.000000;583.933660
177.000000;0.000000;376971.703748;75.964811;5.000000;5.000000;0.000000;600.000000
178.000000;0.000000;376999.888635;75.969444;5.000000;5.000000;0.000000;600.000000
179.000000;0.000000;376954.693061;75.962014;5.000000;5.000000;0.000000;600.000000
180.000000;0.000000;376796.241969;75.935969;5.000000;5.000000;0.000000;600.000000
181.000000;0.000000;377104.052652;75.986566;5.000000;5.000000;0.000000;600.000000
182.000000;0.000000;377603.898224;76.068728;5.000000;5.000000;0.000000;600.000000
183.000000;0.000000;377768.726740;76.095821;5.000000;5.000000;0.000000;600.000000
184.000000;0.000000;377770.743383;76.096153;5.000000;5.000000;0.000000;600.000000
185.000000;0.000000;377553.298736;76.060410;5.000000;5.000000;0.000000;600.000000
186.000000;0.000000;377037.027227;75.975548;5.000000;5.000000;0.000000;600.000000
187.000000;0.000000;376627.629461;75.908253;5.000000;5.000000;0.000000;515.373546
188.000000;0.000000;376348.770198;75.862416;5.000000;5.000000;0.000000;396.025746
189.000000;0.000000;376171.440144;75.833267;5.000000;5.000000;0.000000;459.414773
190.000000;0.000000;375977.011582;75.801308;5.000000;5.000000;0.000000;521.271174
191.000000;0.000000;375791.310125;75.770783;5.000000;5.000000;0.000000;584.968196
192.000000;0.000000;375832.367272;75.777532;5.000000;5.000000;0.000000;600.000000
193.000000;0.000000;375905.232558;75.789509;5.000000;5.000000;0.000000;600.000000
194.000000;0.000000;375969.610808;75.800091;5.000000;5.000000;0.000000;600.000000
195.000000;0.000000;376027.394845;75.809590;5.000000;5.000000;0.000000;600.000000
196.000000;0.000000;376078.438952;75.817980;5.000000;5.000000;0.000000;600.000000
197.000000;0.000000;376123.973971;75.825465;5.000000;5.000000;0.000000;600.000000
198.000000;0.000000;375984.016875;75.802459;5.000000;5.000000;0.000000;600.000000
199.000000;0.000000;375299.482305;75.689939;5.000000;5.000000;0.000000;576.776624
200.000000;0.000000;375036.783477;75.646758;5.000000;5.000000;0.000000;600.000000
201.000000;0.000000;375132.526464;75.662495;5.000000;5.000000;0.000000;600.000000
202.000000;0.000000;375340.998756;75.696763;5.000000;5.000000;0.000000;600.000000
203.000000;0.000000;375500.582141;75.722995;5.000000;5.000000;0.000000;600.000000
204.000000;0.000000;375618.966374;75.742454;5.000000;5.000000;0.000000;600.000000
205.000000;0.000000;376158.799003;75.831189;5.000000;5.000000;0.000000;600.000000
206.000000;0.000000;376935.009547;75.958779;5.000000;5.000000;0.000000;600.000000
207.000000;0.000000;377280.406377;76.015554;5.000000;5.000000;0.000000;600.000000
208.000000;0.000000;377369.901359;76.030264;5.000000;5.000000;0.000000;600.000000
209.000000;0.000000;377217.107080;76.005149;5.000000;5.000000;0.000000;600.000000
210.000000;0.000000;376759.181461;75.929877;5.000000;5.000000;0.000000;600.000000
211.000000;0.000000;376346.651668;75.862068;5.000000;5.000000;0.000000;540.842682
212.000000;0.000000;376063.180030;75.815472;5.000000;5.000000;0.000000;446.964018
213.000000;0.000000;375883.685824;75.785967;5.000000;5.000000;0.000000;531.401917
214.000000;0.000000;375741.481653;75.762593;5.000000;5.000000;0.000000;600.000000
215.000000;0.000000;375765.808175;75.766591;5.000000;5.000000;0.000000;600.000000
216.000000;0.000000;375813.006263;75.774349;5.000000;5.000000;0.000000;600.000000
217.000000;0.000000;375859.177942;75.781939;5.000000;5.000000;0.000000;600.000000
218.000000;0.000000;375901.549570;75.788904;5.000000;5.000000;0.000000;600.000000
219.000000;0.000000;375938.961890;75.795053;5.000000;5.000000;0.000000;600.000000
220.000000;0.000000;375974.790641;75.800943;5.000000;5.000000;0.000000;600.000000
221.000000;0.000000;376005.662460;75.806017;5.000000;5.000000;0.000000;600.000000
222.000000;0.000000;375856.043511;75.781424;5.000000;5.000000;0.000000;600.000000
223.000000;0.000000;375201.624647;75.673853;5.000000;5.000000;0.000000;559.089724
224.000000;0.000000;374889.869353;75.622609;5.000000;5.000000;0.000000;598.147496
225.000000;0.000000;374936.277359;75.630237;5.000000;5.000000;0.000000;600.000000
226.000000;0.000000;375062.273745;75.650948;5.000000;5.000000;0.000000;600.000000
