Heure;Bilan [kWh];Stockage eau [kWh];Température du stock [°C];COP chauffage;COP ECS;ECS Gachée [kWh];Stock batterie [kWh];Stockage hydrogene [kWh];consElecPac;pertes_horaires
142.000000;0.000000;203010.387969;47.369879;7.589444;7.583560;0.000000;31.908940;6584.010905;21.297369;11.030918
143.000000;0.000000;202881.428132;47.348681;7.581709;7.575669;0.000000;50.416032;6584.010905;19.596348;11.024114
144.000000;0.000000;202771.682154;47.330642;7.574614;7.568587;0.000000;101.579370;6584.010905;16.692383;11.017861
145.000000;0.000000;202661.954088;47.312605;7.568587;7.562570;0.000000;153.869350;6584.010905;16.704974;11.012539
146.000000;0.000000;202551.845624;47.294506;7.562570;7.556541;0.000000;206.093377;6584.010905;16.778255;11.007219
147.000000;0.000000;202441.755178;47.276410;7.556541;7.550524;0.000000;250.000000;6586.225836;16.790933;11.001879
148.000000;0.000000;202320.716368;47.256514;7.550524;7.543918;0.000000;250.000000;6599.744369;18.477731;10.996541
149.000000;0.000000;202194.077797;47.235698;7.543918;7.537020;0.000000;250.000000;6613.053053;19.352101;10.990672
150.000000;0.000000;201949.156243;47.195439;7.537020;7.530091;0.000000;250.000000;6617.129224;37.485921;10.984531
151.000000;0.000000;201414.631925;47.107577;7.523714;7.516812;0.000000;90.407866;6617.129224;82.001680;10.972655
152.000000;0.000000;201193.883198;47.071291;7.495871;7.489475;0.000000;70.580594;6617.129224;36.957016;10.946735
153.000000;0.000000;201146.413347;47.063488;7.485037;7.481162;0.000000;88.261318;6617.129224;13.242483;10.936031
154.000000;0.000000;201162.823260;47.066185;7.484551;7.481957;0.000000;109.910921;6617.129224;9.313661;10.933729
155.000000;0.000000;201079.528573;47.052494;7.485431;7.483788;0.000000;114.666365;6617.129224;24.690341;10.934525
156.000000;0.000000;200928.297331;47.027635;7.484052;7.482597;0.000000;112.718890;6617.129224;44.060298;10.930486
157.000000;0.000000;200791.532478;47.005154;7.471836;7.469925;0.000000;0.000000;6591.817368;30.039654;10.923152
158.000000;0.000000;200841.051178;47.013294;7.467604;7.465787;0.000000;10.213967;6591.817368;10.156805;10.916521
159.000000;0.000000;200863.693950;47.017016;7.468198;7.465864;0.000000;30.162604;6591.817368;8.373430;10.918922
160.000000;0.000000;200796.860398;47.006030;7.465306;7.462213;0.000000;44.558349;6591.817368;10.337918;10.920020
161.000000;0.000000;200539.541661;46.963733;7.461739;7.457714;0.000000;32.892276;6591.817368;39.839440;10.916779
162.000000;0.000000;200039.838526;46.881595;7.448038;7.443383;0.000000;0.000000;6562.477618;77.543095;10.904301
163.000000;0.000000;199700.066684;46.825744;7.421576;7.416708;0.000000;0.000000;6415.238950;52.940208;10.880070
164.000000;0.000000;199473.389259;46.788484;7.403690;7.398661;0.000000;0.000000;6253.961631;35.413998;10.863595
165.000000;0.000000;199335.951550;46.765893;7.391805;7.386616;0.000000;27.770017;6253.961631;21.507035;10.852603
166.000000;0.000000;199201.257375;46.743753;7.384618;7.379332;0.000000;54.388156;6253.961631;21.101011;10.845938
167.000000;0.000000;199077.231599;46.723366;7.377587;7.372121;0.000000;84.314688;6253.961631;19.449701;10.839407
168.000000;0.000000;198967.051818;46.705255;7.371126;7.365395;0.000000;150.565707;6253.961631;17.293612;10.833393
169.000000;0.000000;198845.728581;46.685312;7.365395;7.359095;0.000000;216.365120;6253.961631;19.059813;10.828050
170.000000;0.000000;198707.885015;46.662654;7.359095;7.351950;0.000000;250.000000;6261.910811;21.676601;10.822167
171.000000;0.000000;198561.522647;46.638596;7.351950;7.344379;0.000000;250.000000;6278.501568;23.042116;10.815483
172.000000;0.000000;198409.487515;46.613605;7.344379;7.336531;0.000000;250.000000;6294.871132;23.963754;10.808386
173.000000;0.000000;198251.269663;46.587598;7.336531;7.328381;0.000000;250.000000;6310.999399;24.969161;10.801014
174.000000;0.000000;197969.918255;46.541351;7.328381;7.319933;0.000000;250.000000;6317.563857;44.483378;10.793341
175.000000;0.000000;197393.481388;46.446599;7.313934;7.305175;0.000000;99.276560;6317.563857;91.385176;10.779699
176.000000;0.000000;197122.247610;46.402015;7.284511;7.276854;0.000000;90.604688;6317.563857;43.182476;10.751747
177.000000;0.000000;197006.159476;46.382933;7.271720;7.265559;0.000000;113.896499;6317.563857;21.573263;10.738594
178.000000;0.000000;196937.843669;46.371703;7.266815;7.262026;0.000000;140.900025;6317.563857;17.030177;10.732965
179.000000;0.000000;196822.465872;46.352738;7.265302;7.262102;0.000000;154.090089;6317.563857;30.683860;10.729653
180.000000;0.000000;196602.188422;46.316530;7.259472;7.257463;0.000000;156.879396;6317.563857;47.473660;10.724058
181.000000;0.000000;197176.219006;46.410886;7.283327;7.281498;0.000000;157.300867;6317.563857;30.877815;10.713376
