Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS; ECS Gachée
205.000000;0.000000;1570996.915217;78.558245;5.000000;5.000000;0.000000
206.000000;0.000000;1571470.404697;78.577702;5.000000;5.000000;0.000000
207.000000;0.000000;1571714.456339;78.587731;5.000000;5.000000;0.000000
208.000000;0.000000;1571765.956204;78.589848;5.000000;5.000000;0.000000
209.000000;0.000000;1571579.199421;78.582173;5.000000;5.000000;0.000000
210.000000;0.000000;1571087.767250;78.561978;5.000000;5.000000;0.000000
211.000000;0.000000;1570644.636526;78.543768;5.000000;5.000000;0.000000
212.000000;0.000000;1570330.557247;78.530862;5.000000;5.000000;0.000000
213.000000;0.000000;1570120.451077;78.522228;5.000000;5.000000;0.000000
214.000000;0.000000;1569946.823362;78.515093;5.000000;5.000000;0.000000
215.000000;0.000000;1569935.710848;78.514636;5.000000;5.000000;0.000000
216.000000;0.000000;1569947.236492;78.515110;5.000000;5.000000;0.000000
217.000000;0.000000;1569957.685478;78.515539;5.000000;5.000000;0.000000
218.000000;0.000000;1569964.349160;78.515813;5.000000;5.000000;0.000000
219.000000;0.000000;1569966.067016;78.515883;5.000000;5.000000;0.000000
220.000000;0.000000;1569966.214309;78.515890;5.000000;5.000000;0.000000
221.000000;0.000000;1569961.416452;78.515692;5.000000;5.000000;0.000000
222.000000;0.000000;1569777.148992;78.508120;5.000000;5.000000;0.000000
223.000000;0.000000;1569092.124720;78.479970;5.000000;5.000000;0.000000
224.000000;0.000000;1568749.752835;78.465900;5.000000;5.000000;0.000000
225.000000;0.000000;1568755.130027;78.466121;5.000000;5.000000;0.000000
226.000000;0.000000;1568836.797174;78.469477;5.000000;5.000000;0.000000
227.000000;0.000000;1568880.010092;78.471253;5.000000;5.000000;0.000000
228.000000;0.000000;1568816.202127;78.468631;5.000000;5.000000;0.000000
229.000000;0.000000;1568835.617097;78.469429;5.000000;5.000000;0.000000
230.000000;0.000000;1569151.815189;78.482423;5.000000;5.000000;0.000000
231.000000;0.000000;1569304.033003;78.488678;5.000000;5.000000;0.000000
232.000000;0.000000;1569300.813455;78.488546;5.000000;5.000000;0.000000
233.000000;0.000000;1569066.666348;78.478924;5.000000;5.000000;0.000000
234.000000;0.000000;1568528.104961;78.456792;5.000000;5.000000;0.000000
235.000000;0.000000;1568083.989024;78.438542;5.000000;5.000000;0.000000
236.000000;0.000000;1567769.316060;78.425611;5.000000;5.000000;0.000000
237.000000;0.000000;1567561.212723;78.417059;5.000000;5.000000;0.000000
238.000000;0.000000;1567348.298022;78.408309;5.000000;5.000000;0.000000
239.000000;0.000000;1567184.222768;78.401567;5.000000;5.000000;0.000000
240.000000;0.000000;1567152.402086;78.400259;5.000000;5.000000;0.000000
241.000000;0.000000;1567118.480787;78.398865;5.000000;5.000000;0.000000
242.000000;0.000000;1567082.398058;78.397383;5.000000;5.000000;0.000000
243.000000;0.000000;1567041.373246;78.395697;5.000000;5.000000;0.000000
244.000000;0.000000;1566995.406780;78.393808;5.000000;5.000000;0.000000
245.000000;0.000000;1566947.788403;78.391851;5.000000;5.000000;0.000000
246.000000;0.000000;1566717.015911;78.382368;5.000000;5.000000;0.000000
247.000000;0.000000;1566032.083439;78.354221;5.000000;5.000000;0.000000
248.000000;0.000000;1565693.794850;78.340320;5.000000;5.000000;0.000000
249.000000;0.000000;1565592.872195;78.336172;5.000000;5.000000;0.000000
250.000000;0.000000;1565706.380293;78.340837;5.000000;5.000000;0.000000
251.000000;0.000000;1565762.853172;78.343157;5.000000;5.000000;0.000000
252.000000;0.000000;1565756.608066;78.342901;5.000000;5.000000;0.000000
253.000000;0.000000;1565880.575376;78.347995;5.000000;5.000000;0.000000
254.000000;0.000000;1566314.454228;78.365825;5.000000;5.000000;0.000000
255.000000;0.000000;1566518.981193;78.374230;5.000000;5.000000;0.000000
256.000000;0.000000;1566523.539772;78.374417;5.000000;5.000000;0.000000
257.000000;0.000000;1566279.562821;78.364391;5.000000;5.000000;0.000000
