heure,prodPV,prodHydro,prodSolTh,consChal,consECS,consFroid,consElec
4710,6.375,130.0,61.199999999999996,0.0,135.47794397142857,-0.0,47.669872
4711,11.73,130.0,163.20000000000002,0.0,469.60834397142855,-0.0,163.7710804
4712,22.099999999999998,130.0,367.2,0.0,139.6665072,-0.0,84.32736978
4713,40.035000000000004,130.0,550.8000000000001,0.0,15.73080307563025,-0.0,74.8521068
4714,55.25,130.0,714.0,0.0,13.90501910420167,-0.0,78.27106451
4715,65.11,130.0,816.0,0.0,149.43350380840332,-0.0,83.26567339
4716,69.78500000000001,130.0,877.1999999999999,0.0,298.38055306386553,-0.0,77.93226975
4717,66.13,130.0,836.4,0.0,183.13785497647058,-0.0,206.4590438
4718,57.63,130.0,754.8,0.0,36.55358497815124,-0.0,96.53418264
4719,43.605,130.0,591.5999999999999,0.0,12.0792351327731,-0.0,82.00125797
4720,26.52,130.0,408.0,0.0,10.25345116134453,-0.0,77.00664909
4721,13.004999999999999,130.0,224.4,0.0,209.97989776134452,-0.0,72.79986579
4722,6.205,130.0,61.199999999999996,0.0,475.9954290756302,-0.0,83.5395442
4723,2.38,130.0,20.400000000000002,0.0,286.03597908403367,-0.0,196.4382996
4724,0.0,130.0,0.0,0.0,151.30982851260507,-0.0,228.0031602
4725,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4726,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4727,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4728,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4729,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4730,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4731,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4732,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4733,1.4449999999999998,130.0,20.400000000000002,0.0,0.0,-0.0,27.33488862
4734,7.735,130.0,81.60000000000001,0.0,135.47794397142857,-0.0,47.669872
4735,14.28,130.0,224.4,0.0,469.60834397142855,-0.0,163.7710804
4736,20.400000000000002,130.0,306.0,0.0,139.6665072,-0.0,84.32736978
4737,15.385000000000002,130.0,204.0,0.0,15.73080307563025,-0.0,74.8521068
4738,47.515,130.0,612.0,0.0,13.90501910420167,-0.0,78.27106451
4739,77.01,130.0,979.1999999999999,0.0,149.43350380840332,-0.0,83.26567339
4740,33.660000000000004,130.0,408.0,0.0,298.38055306386553,-0.0,77.93226975
4741,20.315,130.0,265.2,0.0,183.13785497647058,-0.0,206.4590438
4742,24.395,130.0,306.0,0.0,36.55358497815124,2.268,96.53418264
4743,22.27,130.0,285.6,0.0,12.0792351327731,6.237,82.00125797
4744,22.27,130.0,326.40000000000003,0.0,10.25345116134453,5.67,77.00664909
4745,15.895000000000001,130.0,285.6,0.0,209.97989776134452,4.914,72.79986579
4746,5.779999999999999,130.0,40.800000000000004,0.0,475.9954290756302,-0.0,83.5395442
4747,2.72,130.0,20.400000000000002,0.0,286.03597908403367,-0.0,196.4382996
4748,0.0,130.0,0.0,0.0,151.30982851260507,-0.0,228.0031602
4749,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4750,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4751,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4752,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4753,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4754,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4755,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4756,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4757,1.02,130.0,20.400000000000002,0.0,0.0,-0.0,27.33488862
4758,6.205,130.0,61.199999999999996,0.0,135.47794397142857,-0.0,47.669872
4759,11.559999999999999,130.0,163.20000000000002,0.0,469.60834397142855,-0.0,163.7710804
4760,22.44,130.0,387.6,0.0,139.6665072,-0.0,84.32736978
4761,41.14,130.0,571.2,0.0,15.73080307563025,-0.0,74.8521068
